
2025/02/05 (21:32:34) | ===> btop++ v.1.4.0
2025/02/05 (21:32:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/05 (21:33:14) | ===> btop++ v.1.4.0
2025/02/05 (21:33:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/06 (06:18:10) | ===> btop++ v.1.4.0
2025/02/06 (06:18:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (08:18:35) | ===> btop++ v.1.4.0
2025/02/07 (08:18:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (08:23:28) | ===> btop++ v.1.4.0
2025/02/07 (08:23:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (08:35:10) | ===> btop++ v.1.4.0
2025/02/07 (08:35:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (20:58:23) | ===> btop++ v.1.4.0
2025/02/07 (20:58:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (21:07:01) | ===> btop++ v.1.4.0
2025/02/07 (21:07:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (21:07:30) | ===> btop++ v.1.4.0
2025/02/07 (21:07:30) | WARNING: Intel GPU: Failed to initialize PMU
